c,13:13.3,-00:23:25.86,,,,,,,,,,,—,,,,,,,,,,,,,,,,
31:31.4,-08:55:11.52,n404,,,,,,,,,,,,,,,,,,,,,,,,,,,
c,31:19.6,-08:45:09.76,,,,,,,,,,,—,,,,,,,,,,,,,,,,
29:56.2,-08:34:24.34,p425,,,,,,,,,,,,,,,,,,,,,,,,,,,
c,12:40.2,+00:14:56.61,,,,,,,,,,,—,,,,,,,,,,,,,,,,
08:32.5,-03:33:34.20,p454,,,,,,,,,,,,,,,,,,,,,,,,,,,
11:00.0,-04:09:37.59,p455,,,,,,,,,,,,,,,,,,,,,,,,,,,
c,08:09.3,-03:48:05.05,,,,,,,,,,,—,,,,,,,,,,,,,,,,
30:10.2,-08:52:50.84,p524,,,,,,,,,,,,,,,,,,,,,,,,,,,
c,08:10.5,-03:32:17.70,,,,,,,,,,,—,,,,,,,,,,,,,,,,
