['0.550578', '181.406710', '34.977605', '14180', '23.511224']
['0.449320', '206.104716', '10.981247', '24173', '27.035067']
['0.501034', '233.256589', '43.416054', '45463', '24.879425']
['0.538061', '188.499682', '21.395085', '36548', '31.721960']
['0.498606', '169.765990', '6.871076', '22510', '19.776324']
['0.612216', '142.761772', '31.888442', '30263', '30.289732']
['0.505397', '239.211710', '45.327693', '42260', '24.744160']
['0.506975', '160.008992', '15.013014', '23936', '19.423169']
['0.468405', '223.640292', '14.591489', '27099', '22.262232']
['0.568452', '207.119511', '1.380303', '6828', '21.584136']
['0.529247', '184.506515', '38.957108', '37997', '26.064672']
['0.516685', '165.651497', '-0.216304', '3254', '29.355960']
['0.459823', '153.152683', '5.836483', '17101', '21.719228']
['0.525731', '195.329863', '51.291333', '44031', '25.684227']
['0.479408', '233.144114', '26.074259', '5287', '17.244175']
['0.495600', '154.990758', '15.617598', '27976', '27.750458']
['0.563770', '183.385980', '29.210611', '33162', '22.584574']
['0.442895', '134.459068', '15.916331', '28308', '26.478482']
['0.479913', '230.588758', '50.146367', '45480', '28.581311']
['0.452548', '137.813843', '30.920813', '37434', '35.113316']
['0.523510', '202.143456', '54.026610', '41290', '24.609056']
['0.525203', '173.376445', '10.126167', '23002', '26.840708']
['0.504525', '150.498908', '52.045094', '38215', '16.288253']
['0.570032', '201.727930', '-2.301316', '7592', '20.399622']
['0.550092', '219.114099', '-1.811659', '7861', '17.034689']
['0.661358', '137.402458', '7.207456', '22287', '45.600765']
['0.562445', '132.718152', '30.870220', '20928', '26.249994']
['0.490028', '189.471192', '28.460865', '33943', '19.018041']
['0.516075', '195.497618', '29.269645', '32023', '19.248831']
['0.496318', '213.611241', '10.233252', '24826', '27.455792']
['0.457626', '229.920602', '9.333586', '24901', '26.418080']
['0.485408', '125.876265', '41.199676', '1528', '19.045609']
['0.481347', '151.558196', '2.700704', '15438', '15.457601']
['0.585672', '221.326043', '35.058132', '13451', '21.358065']
['0.503808', '230.627075', '13.503785', '26941', '21.690930']
['0.563075', '149.090929', '10.449649', '23388', '32.911008']
['0.546967', '176.385970', '27.744343', '34165', '23.019310']
['0.546161', '156.279720', '13.225987', '23818', '26.993781']
['0.597753', '192.697271', '35.732357', '4357', '26.349609']
['0.445976', '150.023234', '43.650872', '11633', '20.256158']
['0.511336', '194.497163', '22.035346', '35132', '24.070584']
['0.561930', '204.655579', '36.533154', '4571', '26.780499']
['0.491252', '205.932703', '-2.604509', '7408', '14.966525']
['0.520934', '160.173288', '31.940411', '31017', '15.958393']
['0.488777', '181.286776', '25.471009', '34485', '22.903203']
['0.527645', '240.320355', '25.027746', '5172', '22.136249']
['0.453507', '172.356183', '37.068821', '13923', '23.126983']
['0.525776', '237.691054', '50.645086', '39270', '8.867851']
['0.472283', '177.071683', '35.896917', '14451', '31.497188']
['0.483208', '174.148121', '36.956240', '13925', '23.375447']
['0.521493', '224.293070', '8.782585', '25317', '18.607739']
['0.671207', '151.686827', '4.843480', '15814', '39.419315']
['0.500022', '181.432736', '44.528862', '45541', '26.927127']
['0.493939', '133.519785', '57.413995', '20148', '9.364309']
