['0.532666', '248.201325', '20.662878', '2364', '50.588973']
['0.476810', '215.769504', '5.540335', '4268', '54.698934']
['0.472861', '151.498851', '17.070606', '6356', '55.101484']
['0.511894', '207.077232', '31.556192', '1369', '63.955085']
['0.522159', '120.183036', '21.071845', '2706', '49.247961']
['0.545597', '245.656346', '36.599469', '5574', '68.631469']
['0.511637', '163.024939', '50.305868', '10252', '59.943103']
['0.486684', '208.893417', '36.511436', '1284', '59.023228']
['0.542830', '195.163593', '21.205852', '8413', '36.965054']
['0.481616', '207.151718', '46.746945', '11096', '51.135369']
['0.597161', '219.470075', '1.122654', '1792', '73.669146']
['0.463472', '198.664764', '29.279226', '7870', '56.348765']
['0.571365', '213.876384', '46.672474', '11099', '57.735859']
['0.482485', '133.257333', '34.020209', '3151', '79.057352']
['0.502884', '135.340858', '11.494884', '6582', '53.833326']
['0.492667', '122.347660', '12.189380', '2882', '47.399212']
['0.529265', '196.830651', '40.516933', '1293', '48.683088']
['0.571116', '248.267014', '39.611957', '5528', '52.645594']
['0.544313', '155.859791', '42.950467', '3162', '50.173185']
['0.492696', '227.650951', '25.857998', '3559', '35.905072']
['0.644175', '170.186014', '0.079071', '478', '69.187613']
['0.597293', '250.516746', '26.649695', '2417', '59.415613']
['0.551200', '253.466494', '29.862090', '2333', '50.270268']
['0.556696', '232.476038', '20.568910', '1527', '61.129072']
['0.520847', '170.875299', '41.487394', '3289', '42.422932']
['0.518335', '182.552716', '19.835365', '8635', '49.674243']
['0.501311', '200.228980', '11.361691', '6172', '52.829517']
['0.548745', '184.041338', '2.022411', '3582', '69.926140']
['0.547596', '193.310785', '22.001955', '8659', '65.468989']
['0.477739', '233.703239', '5.678742', '4459', '61.280205']
['0.464378', '164.901776', '30.996770', '7773', '49.629986']
['0.517197', '165.166506', '23.957655', '8340', '58.579661']
['0.456423', '193.375408', '44.036566', '11444', '64.026697']
['0.583847', '138.592612', '7.442972', '4359', '61.804318']
['0.551944', '213.008440', '16.786293', '6488', '45.210649']
['0.509546', '130.368376', '20.418731', '5491', '68.329937']
['0.532306', '116.895179', '26.474414', '2593', '47.851400']
