['0.491775', '233.656138', '16.712489', '1577', '37.973771']
['0.586366', '255.107405', '43.973533', '11695', '68.613631']
['0.596550', '222.489908', '-0.971053', '1691', '63.576884']
['0.625572', '176.573709', '17.609209', '8691', '66.812202']
['0.514635', '126.640292', '24.660094', '2707', '40.613155']
['0.455738', '194.663606', '40.589850', '1289', '43.876415']
['0.477676', '179.805933', '0.235496', '3581', '51.203814']
['0.640004', '160.050704', '41.862157', '3253', '95.488246']
['0.515891', '198.230840', '36.732232', '1315', '48.439495']
['0.539917', '193.532990', '50.918645', '11507', '48.590670']
['0.469260', '188.796411', '46.740402', '11366', '61.529818']
['0.593009', '152.257499', '29.151296', '7840', '85.155073']
['0.660070', '242.868052', '19.570722', '2236', '89.291773']
['0.647084', '198.599758', '50.559717', '11500', '89.267567']
['0.584075', '232.796523', '10.259220', '5624', '75.150854']
['0.455473', '203.582795', '45.904424', '11369', '48.496424']
['0.563384', '244.144055', '26.878812', '4579', '63.202533']
['0.519049', '148.845693', '24.783169', '8718', '37.002322']
['0.566345', '172.394240', '21.712886', '8449', '57.383212']
['0.469810', '142.333266', '35.723177', '3551', '50.838097']
['0.568897', '206.743345', '22.503805', '7952', '38.952082']
['0.452226', '151.417529', '18.327102', '8362', '53.551791']
['0.506912', '178.791156', '-1.494904', '757', '42.313837']
['0.576907', '213.700383', '30.931698', '7539', '61.615182']
