['name', 'redshift', 'B-Band Mag', 'Strech', 'Color', 'dist mod', 'sample', 'Failed', '?', 'Position', 'Sn Type']
['1996x', '0.0070', [12.97, 0.31], [-1.19, 0.1], [0.02, 0.01], [32.09, 0.35], '0.128', '3', 'z', [13.3, -26.85], 'NGC 5061', 'Ia']
['1996z', '0.0086', [14.24, 0.25], [-0.39, 0.38], [0.32, 0.02], [32.72, 0.3], '0.128', '3', 'z', [9.6117, -21.1333], 'NGC 2935', 'Ia']
['1993ae', '0.0180', [15.13, 0.17], [-2.22, 0.28], [-0.13, 0.06], [34.49, 0.21], '0.128', '3', 'p', [1.4967, -1.9833], 'IC 126', 'Ia']
['1994q', '0.0299', [16.32, 0.1], [0.59, 0.4], [0.09, 0.04], [35.48, 0.18], '0.128', '3', 'p', [16.8317, 40.4333], 'Anon.', 'Ia']
['2000fa', '0.0218', [15.86, 0.1], [0.37, 0.16], [0.1, 0.02], [34.97, 0.23], '0.128', '4', '', [7.2583, 23.4333], 'UGC 3770', 'Ia']
['2000dk', '0.0164', [15.34, 0.13], [-2.6, 0.29], [0.06, 0.02], [34.18, 0.25], '0.128', '4', '', [1.1233, 32.4], 'NGC 382', 'Ia']
['2000cn', '0.0232', [16.57, 0.1], [-2.5, 0.29], [0.2, 0.02], [35.09, 0.23], '0.128', '4', '', [17.9617, 27.8333], 'UGC 11064', 'Ia']
['2000cf', '0.0365', [17.05, 0.06], [-1.12, 0.17], [0.04, 0.02], [36.13, 0.22], '0.128', '4', '', [15.8817, 65.9333], 'MCG +11-19-25', 'Ia']
['1999gd', '0.0193', [16.91, 0.12], [-1.08, 0.27], [0.46, 0.02], [34.95, 0.24], '0.128', '4', '', [8.64, 25.7667], 'NGC 2623', 'Ia']
['1999ek', '0.0176', [15.59, 0.18], [-1.08, 0.15], [0.17, 0.01], [34.34, 0.27], '0.128', '4', '', [5.6083, 16.6333], 'UGC 3329', 'Ia']
['1999ej', '0.0128', [15.36, 0.2], [-2.08, 0.43], [0.07, 0.05], [34.26, 0.28], '0.128', '4', 'z', [1.3833, 33.4667], 'NGC 495', 'Ia']
['1999dq', '0.0135', [14.39, 0.16], [0.89, 0.12], [0.13, 0.01], [33.48, 0.26], '0.128', '4', 'z', [2.5667, 20.9833], 'NGC 976', 'Ia-p']
['1999cc', '0.0315', [16.77, 0.07], [-1.89, 0.28], [0.05, 0.02], [35.73, 0.23], '0.000', '4', '', [16.045, 37.3667], 'NGC 6038', 'Ia']
['1998es', '0.0096', [13.82, 0.23], [0.95, 0.18], [0.13, 0.02], [32.92, 0.31], '0.128', '4', 'z', [1.6217, 5.8833], 'NGC 632', 'Ia']
['1998eg', '0.0235', [16.08, 0.1], [-0.79, 0.35], [0.05, 0.02], [35.17, 0.23], '0.128', '4', '', [22.6583, 8.6], 'UGC 12133', 'Ia']
['1998ef', '0.0167', [14.8, 0.13], [-1.23, 0.26], [-0.02, 0.02], [34.0, 0.25], '0.128', '4', '', [1.0567, 32.2333], 'UGC 646', 'Ia']
['1998dx', '0.0537', [17.58, 0.05], [-2.32, 0.41], [0.06, 0.03], [36.48, 0.22], '0.128', '4', '', [18.1867, 49.8667], 'UGC 11149', 'Ia']
