Name,R.A.,Decl.,z,,,,,,,,,
RXC J1539.7+3424...,234.9337,34.4156,0.229,,,,,,,,,
RXC J1539.8+3043...,234.953,30.7173,0.098,,,,,,,,,
RXC J1553.3+5107...,238.3353,51.1226,0.2354,,,,,,,,,
RXC J1554.2+3237...,238.5734,32.6277,0.075,,,,,,,,,
RXC J1556.1+6621...,239.0369,66.3558,0.2339,,,,,,,,,
RXC J1557.7+3530...,239.4382,35.504,0.1549,,,,,,,,,
RXC J1558.3+2713...,239.5857,27.2269,0.0894,,,,,,,,,
RXC J1601.3+5354...,240.3474,53.9061,0.1068,,,,,,,,,
RXC J1604.5+1743...,241.1489,17.7244,0.037,,,,,,,,,
RXC J1604.9+2355...,241.2377,23.9206,0.0326,,,,,,,,,
RXC J1605.5+7208...,241.3822,72.1467,0.1332,,,,,,,,,
RXC J1615.5+1927...,243.8947,19.46,0.0308,,,,,,,,,
RXC J1617.5+3458...,244.3635,34.9367,0.0315,,,,,,,,,
RXC J1618.2+2938...,244.5741,29.64,0.2993,,,,,,,,,
RXC J1620.5+2953...,245.1322,29.8953,0.0972,,,,,,,,,
RXC J1624.2+4114...,246.0591,41.2383,0.1825,,,,,,,,,
RXC J1626.9+5528...,246.7459,55.4802,0.13,,,,,,,,,
RXC J1627.3+4240...,246.8482,42.6784,0.0317,,,,,,,,,
RXC J1627.6+4055...,246.9173,40.9197,0.0301,,,,,,,,,
RXC J1628.6+3932...,247.1582,39.5487,0.0299,,,,,,,,,
RXC J1629.7+5831...,247.4367,58.5241,0.1329,,,,,,,,,
RXC J1632.7+0534...,248.1936,5.5705,0.1514,,,,,,,,,
RXC J1634.6+6738...,248.6591,67.637,0.1668,,,,,,,,,
RXC J1635.8+6612...,248.9682,66.2144,0.1709,,,,,,,,,
RXC J1640.3+4642...,250.0892,46.7058,0.228,,,,,,,,,
RXC J1643.2+5114...,250.8043,51.2498,0.199,,,,,,,,,
RXC J1643.3+2131...,250.8337,21.5261,0.1535,,,,,,,,,
RXC J1644.9+0140...,251.2402,1.6677,0,,,,,,,,,
RXC J1647.4+0441...,251.8644,4.6882,0,,,,,,,,,
RXC J1651.1+0459...,252.7918,4.9961,0.154,,,,,,,,,
RXC J1652.2+4449...,253.0679,44.8203,0.1753,,,,,,,,,
RXC J1652.9+4009...,253.2318,40.1535,0.1492,,,,,,,,,
RXC J1654.3+2334...,253.5972,23.5699,0.0575,,,,,,,,,
RXC J1654.7+5854...,253.6945,58.9016,0.0869,,,,,,,,,
RXC J1658.0+2751...,254.5032,27.8544,0.0337,,,,,,,,,
RXC J1659.6+6826...,254.9042,68.4375,0.0504,,,,,,,,,
RXC J1659.7+3236...,254.9365,32.6135,0.1013,,,,,,,,,
RXC J1700.7+6412...,255.1949,64.2143,0.225,,,,,,,,,
RXC J1702.7+3403...,255.6786,34.0619,0.0953,,,,,,,,,
RXC J1703.8+7838...,255.9532,78.6443,0.0581,,,,,,,,,
RXC J1709.8+3426...,257.4535,34.4406,0.0802,,,,,,,,,
RXC J1711.0+3941...,257.7616,39.6942,0.0647,,,,,,,,,
RXC J1712.7+6403...,258.1968,64.0614,0.0809,,,,,,,,,
RXC J1714.3+4341...,258.5775,43.6897,0.0276,,,,,,,,,
RXC J1715.2+0309...,258.8033,3.1631,0.1647,,,,,,,,,
RXC J1715.3+5724...,258.8414,57.4074,0.0276,,,,,,,,,
RXC J1717.6+3627...,259.4002,36.4637,0.1709,,,,,,,,,
RXC J1717.8+1940...,259.4554,19.6833,0.178,,,,,,,,,
RXC J1717.8+3235...,259.4731,32.586,0.1054,,,,,,,,,
RXC J1718.1+5639...,259.541,56.6656,0.1138,,,,,,,,,
RXC J1718.1+7801...,259.5424,78.022,0.0584,,,,,,,,,
