['name', 'redshift', 'B-Band Mag', 'Strech', 'Color', 'dist mod', 'sample', 'Failed', '?', 'Position', 'Sn Type']
['2006cf', '0.0423', [17.05, 0.06], [-0.66, 0.32], [-0.04, 0.02], [36.39, 0.17], '0.000', '6', '', [10.9, 46.0333], 'UGC 6015', 'Ia']
['2006cj', '0.0684', [18.12, 0.04], [1.4, 0.5], [-0.05, 0.02], [37.73, 0.17], '0.000', '6', '', [12.99, 28.35], 'Anon.', 'Ia']
['2006cm', '0.0153', [17.88, 0.14], [-0.05, 0.16], [1.01, 0.01], [34.71, 0.21], '0.128', '6', '', [21.3383, -1.6833], 'UGC 11723', 'Ia']
['2006cp', '0.0233', [15.97, 0.09], [-0.07, 0.11], [0.16, 0.01], [34.88, 0.18], '0.011', '6', '', [12.32, 22.4333], 'UGC 7357', 'Ia']
['2006cq', '0.0491', [17.56, 0.05], [0.06, 0.5], [0.06, 0.01], [36.73, 0.18], '0.000', '6', '', [13.4067, 30.95], 'IC 4239', 'Ia']
['2006cz', '0.0425', [16.98, 0.06], [1.25, 0.48], [0.21, 0.03], [35.93, 0.2], '0.128', '6', '', [14.81, -4.75], 'MCG -01-38-2', 'Ia']
['2006ej', '0.0192', [15.74, 0.12], [-1.56, 0.16], [0.05, 0.02], [34.74, 0.2], '0.000', '6', '', [0.65, -9.0167], 'NGC 191', 'Ia']
['2006en', '0.0308', [16.74, 0.08], [-0.69, 0.14], [0.08, 0.02], [35.78, 0.17], '0.128', '6', '', [23.1683, 30.2167], 'MCG +05-54-41', 'Ia']
['2006et', '0.0212', [15.92, 0.11], [0.75, 0.26], [0.2, 0.02], [34.85, 0.19], '0.128', '6', '', [0.7133, -23.5667], 'NGC 232', 'Ia']
['2006gj', '0.0277', [17.63, 0.09], [-2.09, 0.28], [0.4, 0.02], [35.71, 0.18], '0.128', '6', '', [3.2933, -1.7], 'UGC 2650', 'Ia']
['2006gr', '0.0335', [16.91, 0.07], [0.55, 0.12], [0.13, 0.01], [35.97, 0.17], '0.128', '6', '', [22.54, 30.8333], 'UGC 12071', 'Ia']
['2006kf', '0.0208', [15.8, 0.12], [-2.85, 0.23], [-0.01, 0.03], [34.8, 0.2], '0.128', '6', '', [3.6967, 8.15], 'UGC 2829', 'Ia']
['2006le', '0.0173', [14.73, 0.16], [0.63, 0.08], [-0.04, 0.01], [34.23, 0.22], '0.128', '6', '', [5.0117, 62.25], 'UGC 3218', 'Ia']
['2006mo', '0.0360', [17.37, 0.07], [-2.58, 0.25], [0.09, 0.03], [36.15, 0.18], '0.128', '6', '', [0.7767, 36.3333], 'MCG +06-02-17', 'Ia']
['2006mp', '0.0233', [15.95, 0.09], [0.77, 0.23], [0.06, 0.01], [35.2, 0.19], '0.128', '6', '', [17.2, 46.55], 'MCG +08-31-29', 'Ia']
['2006oa', '0.0589', [17.85, 0.04], [0.89, 0.31], [0.05, 0.01], [37.11, 0.17], '1.000', '6', '', [21.395, -0.85], 'Anon.', 'Ia']
['2006ob', '0.0583', [18.22, 0.04], [-2.76, 0.25], [0.06, 0.02], [37.06, 0.17], '0.000', '6', '', [1.8633, 0.2667], 'Anon.', 'Ia']
['2006on', '0.0688', [18.38, 0.06], [0.63, 0.78], [0.12, 0.04], [37.49, 0.2], '0.027', '6', '', [21.9333, -1.0667], 'Anon.', 'Ia']
['2006os', '0.0321', [17.57, 0.08], [-0.72, 0.16], [0.47, 0.02], [35.65, 0.18], '0.128', '6', '', [2.9167, 16.0167], 'UGC 2384', 'Ia']
['2006ot', '0.0522', [17.99, 0.05], [-1.43, 0.27], [0.19, 0.03], [36.67, 0.19], '0.128', '6', '', [2.2517, -20.7667], 'ESO 544-G31', 'Ia']
['2006qo', '0.0308', [16.78, 0.07], [0.31, 0.1], [0.22, 0.01], [35.59, 0.17], '0.128', '6', '', [8.0017, 56.3667], 'UGC 4133', 'Ia?']
['2006s', '0.0329', [16.81, 0.07], [0.65, 0.12], [0.11, 0.01], [35.94, 0.17], '0.001', '6', '', [12.7617, 35.0833], 'UGC 7934', 'Ia']
['2006sr', '0.0230', [16.11, 0.1], [-1.51, 0.23], [0.07, 0.01], [35.07, 0.19], '0.128', '6', '', [0.06, 23.2], 'UGC 14', 'Ia']
['2006td', '0.0150', [15.7, 0.15], [-1.59, 0.27], [0.18, 0.02], [34.38, 0.22], '0.128', '6', '', [1.9717, 36.35], 'Anon.', 'Ia']
['2006te', '0.0321', [16.5, 0.08], [-0.36, 0.18], [-0.04, 0.02], [35.87, 0.17], '0.000', '6', '', [8.195, 41.55], 'Anon.', 'Ia']
['2007ae', '0.0643', [17.73, 0.04], [1.45, 0.27], [0.02, 0.02], [37.18, 0.17], '0.128', '6', '', [17.0317, 79.0333], 'UGC 10704', 'Ia']
['2007ai', '0.0320', [16.85, 0.1], [1.28, 0.26], [0.2, 0.02], [35.83, 0.19], '0.128', '6', '', [16.215, -21.6333], 'MCG -04-38-4', 'Ia']
['2007au', '0.0209', [16.58, 0.11], [-3.5, 0.26], [0.31, 0.03], [34.7, 0.19], '0.128', '6', '', [7.1967, 49.85], 'UGC 3725', 'Ia']
['2007bc', '0.0219', [15.86, 0.1], [-1.69, 0.18], [0.05, 0.02], [34.85, 0.19], '0.000', '6', '', [11.32, 20.8167], 'UGC 6332', 'Ia']
['2007bd', '0.0320', [16.55, 0.07], [-1.78, 0.16], [0.03, 0.02], [35.59, 0.17], '0.000', '6', '', [8.5267, -1.2], 'UGC 4455', 'Ia']
['2007ca', '0.0151', [15.89, 0.15], [0.37, 0.13], [0.29, 0.01], [34.53, 0.21], '0.128', '6', '', [13.5183, -15.1], 'MCG -02-34-61', 'Ia']
